"FontName","FontFile"
"Arial (TrueType)","arial.ttf"
"Arial Black (TrueType)","ariblk.ttf"
"Arial Bold (TrueType)","arialbd.ttf"
"Arial Bold Italic (TrueType)","arialbi.ttf"
"Arial Italic (TrueType)","ariali.ttf"
"Bahnschrift (TrueType)","bahnschrift.ttf"
"Calibri (TrueType)","calibri.ttf"
"Calibri Bold (TrueType)","calibrib.ttf"
"Calibri Bold Italic (TrueType)","calibriz.ttf"
"Calibri Italic (TrueType)","calibrii.ttf"
"Calibri Light (TrueType)","calibril.ttf"
"Calibri Light Italic (TrueType)","calibrili.ttf"
"Cambria & Cambria Math (TrueType)","cambria.ttc"
"Cambria Bold (TrueType)","cambriab.ttf"
"Cambria Bold Italic (TrueType)","cambriaz.ttf"
"Cambria Italic (TrueType)","cambriai.ttf"
"Candara (TrueType)","candara.ttf"
"Candara Bold (TrueType)","candarab.ttf"
"Candara Bold Italic (TrueType)","candaraz.ttf"
"Candara Italic (TrueType)","candarai.ttf"
"Candara Light (TrueType)","candaral.ttf"
"Candara Light Italic (TrueType)","candarali.ttf"
"Comic Sans MS (TrueType)","comic.ttf"
"Comic Sans MS Bold (TrueType)","comicbd.ttf"
"Comic Sans MS Bold Italic (TrueType)","comicz.ttf"
"Comic Sans MS Italic (TrueType)","comici.ttf"
"Consolas (TrueType)","consola.ttf"
"Consolas Bold (TrueType)","consolab.ttf"
"Consolas Bold Italic (TrueType)","consolaz.ttf"
"Consolas Italic (TrueType)","consolai.ttf"
"Constantia (TrueType)","constan.ttf"
"Constantia Bold (TrueType)","constanb.ttf"
"Constantia Bold Italic (TrueType)","constanz.ttf"
"Constantia Italic (TrueType)","constani.ttf"
"Corbel (TrueType)","corbel.ttf"
"Corbel Bold (TrueType)","corbelb.ttf"
"Corbel Bold Italic (TrueType)","corbelz.ttf"
"Corbel Italic (TrueType)","corbeli.ttf"
"Corbel Light (TrueType)","corbell.ttf"
"Corbel Light Italic (TrueType)","corbelli.ttf"
"Courier New (TrueType)","cour.ttf"
"Courier New Bold (TrueType)","courbd.ttf"
"Courier New Bold Italic (TrueType)","courbi.ttf"
"Courier New Italic (TrueType)","couri.ttf"
"Ebrima (TrueType)","ebrima.ttf"
"Ebrima Bold (TrueType)","ebrimabd.ttf"
"Franklin Gothic Medium (TrueType)","framd.ttf"
"Franklin Gothic Medium Italic (TrueType)","framdit.ttf"
"Gabriola (TrueType)","Gabriola.ttf"
"Gadugi (TrueType)","gadugi.ttf"
"Gadugi Bold (TrueType)","gadugib.ttf"
"Georgia (TrueType)","georgia.ttf"
"Georgia Bold (TrueType)","georgiab.ttf"
"Georgia Bold Italic (TrueType)","georgiaz.ttf"
"Georgia Italic (TrueType)","georgiai.ttf"
"Impact (TrueType)","impact.ttf"
"Ink Free (TrueType)","Inkfree.ttf"
"Javanese Text (TrueType)","javatext.ttf"
"Leelawadee UI (TrueType)","leelawui.ttf"
"Leelawadee UI Bold (TrueType)","leelauib.ttf"
"Leelawadee UI Semilight (TrueType)","leeluisl.ttf"
"Lucida Console (TrueType)","lucon.TTF"
"Lucida Sans Unicode (TrueType)","l_10646.ttf"
"Malgun Gothic (TrueType)","malgun.ttf"
"Malgun Gothic Bold (TrueType)","malgunbd.ttf"
"Malgun Gothic SemiLight (TrueType)","malgunsl.ttf"
"Microsoft Himalaya (TrueType)","himalaya.ttf"
"Microsoft JhengHei & Microsoft JhengHei UI (TrueType)","msjh.ttc"
"Microsoft JhengHei Bold & Microsoft JhengHei UI Bold (TrueType)","msjhbd.ttc"
"Microsoft JhengHei Light & Microsoft JhengHei UI Light (TrueType)","msjhl.ttc"
"Microsoft New Tai Lue (TrueType)","ntailu.ttf"
"Microsoft New Tai Lue Bold (TrueType)","ntailub.ttf"
"Microsoft PhagsPa (TrueType)","phagspa.ttf"
"Microsoft PhagsPa Bold (TrueType)","phagspab.ttf"
"Microsoft Sans Serif (TrueType)","micross.ttf"
"Microsoft Tai Le (TrueType)","taile.ttf"
"Microsoft Tai Le Bold (TrueType)","taileb.ttf"
"Microsoft YaHei & Microsoft YaHei UI (TrueType)","msyh.ttc"
"Microsoft YaHei Bold & Microsoft YaHei UI Bold (TrueType)","msyhbd.ttc"
