"Name","CPU","WorkingSet64","StartTime"
"opencode","45.671875","652365824","08-06-2026 09:36:51"
"dwm",,"394633216",
"brave","21.421875","351141888","08-06-2026 09:27:26"
"MsMpEng",,"320516096",
"explorer","25.75","315273216","08-06-2026 08:26:23"
"wallpaper64","26.953125","311742464","08-06-2026 08:26:23"
"brave","20.203125","267038720","08-06-2026 09:27:26"
"PhoneExperienceHost","1.9375","198705152","08-06-2026 09:26:55"
"NVDisplay.Container",,"192815104",
"NitroSense","15.625","180494336","08-06-2026 08:26:44"
"brave","3.796875","174116864","08-06-2026 09:27:26"
"NitroSense","3.984375","171073536","08-06-2026 08:26:46"
"SearchHost","4.21875","165519360","08-06-2026 08:26:24"
"Dock_64","43.953125","158806016","08-06-2026 08:26:25"
"WindowsTerminal","7.484375","148434944","08-06-2026 09:36:44"
"NitroSense","13.421875","146374656","08-06-2026 08:26:46"
"StartMenuExperienceHost","2.890625","139902976","08-06-2026 08:26:24"
"msedgewebview2","2.3125","135577600","08-06-2026 08:26:25"
"MSPCManagerService","3.703125","129900544","08-06-2026 08:25:54"
"msedgewebview2","2.375","126005248","08-06-2026 08:26:26"
"brave","18.109375","122679296","08-06-2026 09:27:26"
"brave","0.46875","112508928","08-06-2026 09:27:33"
"QuickLook","1.859375","104583168","08-06-2026 08:26:33"
"brave","0.578125","103587840","08-06-2026 09:27:26"
"msedgewebview2","1.140625","102748160","08-06-2026 08:26:26"
"TextInputHost","1.59375","102453248","08-06-2026 08:26:34"
"nvcontainer","16.984375","96600064","08-06-2026 08:26:23"
"svchost",,"95776768",
"brave","3.9375","93827072","08-06-2026 09:27:26"
"brave","0.46875","89673728","08-06-2026 09:27:30"
"brave","0.28125","88121344","08-06-2026 09:27:30"
"svchost",,"86134784",
"powershell","0.265625","85266432","08-06-2026 09:42:25"
"powershell","0.453125","79880192","08-06-2026 09:36:44"
"pwsh","0.296875","78831616","08-06-2026 09:42:25"
"powershell","0.4375","74960896","08-06-2026 09:41:38"
"RuntimeBroker","2.09375","73617408","08-06-2026 08:26:25"
"backgroundTaskHost","0.40625","72228864","08-06-2026 09:29:50"
"ShellHost","0.109375","71315456","08-06-2026 09:42:02"
"CrossDeviceResume","0.671875","71090176","08-06-2026 08:26:24"
"brave","1.0625","67325952","08-06-2026 09:27:26"
"Secure System",,"67264512",
"Rainmeter","150.734375","66519040","08-06-2026 08:26:42"
"DtsApo4Service",,"64319488",
"brave","0.359375","63180800","08-06-2026 09:27:26"
"NVDisplay.Container",,"61624320",
"svchost",,"58859520",
"brave","3.625","58621952","08-06-2026 09:27:26"
"AcerService",,"56111104",
"sihost","5.078125","54636544","08-06-2026 08:26:23"
