"TaskName","TaskPath","State","Description"
"AHK Fast Start","\","Ready",
"CreateExplorerShellUnelevatedTask","\","Ready",
"LockPC","\","Ready",
"MiniToolPartitionWizard","\","Ready",
"NitroSenseLauncher","\","Ready",
"NVIDIA App SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","\","Ready",
"Software Update Application","\","Ready","Software Updater Scheduler"
"StorPSCTL","\","Running","StorPSCTL V3.3:  1. (RST) NVMe runtime PS control 2. NVMe thermal control 3. HDD APM control"
"Windows Service Host","\","Ready",
"RunPlatformExperienceHelper_Daily","\GoogleUserPEH\","Ready","Runs platform experience helper daily"
"RunPlatformExperienceHelper_Metrics","\GoogleUserPEH\","Ready","Runs platform experience helper once in the future"
"SoftLandingCreativeManagementTask","\SoftLanding\S-1-5-21-771876326-1644897007-41128627-1001\","Ready",
"SoftLandingDeferralTask-{cbc213f8-369a-4b56-b9a2-d4a019eed556}","\SoftLanding\S-1-5-21-771876326-1644897007-41128627-1001\","Ready",
"SoftLandingTriggerTask-128000000001615609-render-{15733121-35c6-4bb1-8d85-459fe85677d7}","\SoftLanding\S-1-5-21-771876326-1644897007-41128627-1001\","Disabled",
"SoftLandingCreativeManagementTask","\SoftLanding\S-1-5-21-771876326-1644897007-41128627-1039\","Ready",
